,hash,verdict,first_seen
0,82f45f65b6c7bae0ae402d6775f99afaae2e1bfc9bab5d7f8b4e16db1cfaf7b3,0,2018-06-01
1,aa98e5fcebc46dc87fe782bc43f8760661fc781d82d2d71c2bbb18dc1589b1b8,0,2019-09-26
2,b015b0b7352fd28e9dd75775a31053b4369e6b122fc00bdbe05e03353f3930d0,0,2018-05-22
3,771617ceedc95cf0ecc6b4007fab326cafff7dc72794796cb4236f2f58342dc0,0,2018-06-08
4,7c9289f4e42f04cc51f688335e1d8e9d3b997d2933b67f60387ae6ce77e2bca8,0,2019-01-30
5,4051ec0582e7b1775ccb0ade075b4f652b811b8f21f96d6ac12cf070767aecce,0,2018-10-08
6,c6b2d459ada01f7dfd13fb6b4020afdd8fa4fe56aaac78e282e06cac7a2c6a6c,0,2019-01-31
7,c28b6e761e00def811c17bbcbc940bcf34daa525def0ba50f38702d62e79db3e,0,2019-02-24
8,ae2a2de652b1402b9810580ce66f19c5fb071cbb7b963d3060b01fe52178ad89,0,2019-09-15
9,477352991fe38f6dbaaf6c0971046a346fda092031191bd7be982d8e8a84f0ba,0,2018-05-19
10,16aa33daba48be8fa6e61e93e2661c3413b0211c2bb1df96bd667e476ab5506a,0,2019-05-10
11,333e0643d5b6921b191d7731fa05834320b10aada28e3a85c5b24d371cb41d88,0,2019-10-05
12,aef1df9aaa6aeddfe5aabc01f0f90e66cc837b2cd381edeacbfe8897d48dab58,0,2018-10-13
13,8178280950406453db1b3307406e06353571784d8024bf13d8a67314671ffb1f,0,2018-10-28
14,090ed678d8d1a1ce07729eb782ab336bcfec70162cd846822dc6caea57e98254,0,2019-01-14
15,fe557d15a25f227b63de7667aaefc3c20cbbacf86414763245282f921d73e557,0,2019-03-03
16,afc303d710342293fe5373ce798b6237dfa0ac2080a22588b1b99cd6820b04ba,0,2019-06-08
17,b63ca981b6c469de47bbed1a8f743576f8034c137c12ed2be9f9851eda5d58d0,0,2019-02-26
18,5cfee609ea8a934c683a591f2b9e45e734984f1f6aa174f35e1bec085296c427,0,2018-03-16
19,5eaf36202e5c214fac2ff8d2aa5ac03f1937168e9cae455eb8b661880d9ce935,0,2018-05-02
20,c8e08d5343226a11e452a3cd335d28103ef529aed66b28b67975ffe45a4141ab,0,2019-08-02
21,d77e5df5c0efa7341eb96c5aee38e08ebdfd1d32930a0d6b0d3e316f0731384e,0,2019-03-22
22,3e25dd4b16630753f580337ef86a64b0700aa4b76f86f20fa122e4890d97e01c,0,2018-07-26
23,004bb7d9d128c0581bfc18259e1300f50fea9c20adada6cd529b5b572886a87d,0,2019-05-06
24,5d48a5a0c5700f54cb582b9487950eeb8adf5575565ba856c929d52949debbc4,0,2019-05-01
25,cbd521bc845cc53bb608410183d2ae688e596a91533f50daf8bce44a443ee05b,0,2019-11-05
26,11a36720b6f35d43503b411f8d5a4f8114aabbfdccc22bb0fa4f0f18d9484870,0,2018-07-04
27,d75c65bee1690da7d7ecb85f7b5a81cb7668baaa261f674ffe10bec390809657,0,2018-01-01
28,d92250287fd9aa7ff4dd6a748d440558d791d788e8df1a148f88c2f56d8d3f18,0,2019-10-24
29,2eb117967860c483436c9754dba7a9043a756342bb434445993398b609e3deb9,0,2019-12-04
30,2f5348573044c055da5e936d03349a4921f0040548bb738b87492ecffd15aea3,0,2018-08-09
31,725f0c164967089858ba17545c468809082bdafe2c261ba88b114b37a377e069,0,2018-12-10
32,839149bcd1a9b89414d2dffc8a30d3379244116a6372232bcd80a12d5032b043,0,2019-03-10
33,3f18c3954f0bc46f40aeb485f2e409b0d5af6ff6a95f05ae106228269c7b1b5a,0,2019-06-23
34,3fe658afa62e00eb0db910f78562a0e3f97830f773253baecd001ae52ad5c309,0,2018-12-12
35,71eb9ae31d6d4099c83c05714c9c3cbd85066e5e933a5223dd8916a6e256a05b,0,2018-01-17
36,7355cccc28d8374849fb3f0c6ee250881f86013b2e7288c85d2be4cf32168217,0,2019-10-01
37,3e07da3c2d9eb323cd23459799c158201f69a3e0a4a2ee018b316e1224581a62,0,2019-06-21
38,d62f263e5bdb139092c25d9f74dd0afde2816dff0968fad9e745547445ea55a2,0,2018-11-08
39,d09ed00b6a1fbb9423c92de5873197972babe86cfcae49d65865f4529359681d,0,2018-12-17
40,aeee4d68f1a6467e429ef59ea011eab2e7e31121005d9fa80880869f49625ede,0,2018-04-05
41,ff731d99f3d29ab39068ef0902ae21d8c85e4b56bd8d0858ec0c336b391423b5,0,2019-07-12
42,1210b521f19910f91b4f2060fd7918ad6e92923d41751146fc68d0bf8f3a2957,0,2019-01-07
43,48187bc9951aa74385733e22ec38fe1bf9878bd8e7ef7c4bcc1faeca49fd5f86,0,2019-05-13
44,f5a4b7f866e1f2a388e3a80e7f64e147cc79735aab8e078dccda4a6951edaceb,0,2018-10-28
45,70b4041915ebd45fda85ae34e7bd8d307b5055021f2a0e73e7b793d6579af1f1,0,2019-08-24
46,8b55ba05fb9384055169039d1c701b7804afe3f1987f49ec035a7ef828eab56d,0,2018-11-26
47,d0dfb67f0426f15e72b2039d7eea28c1212de53b0a454cb0fbfb35e52b33b569,0,2019-11-19
48,6d26004832393b28fbd43baaf1dd2a6fa5347de778308634509b005adf11d0ad,0,2018-09-01
49,9a8014312730bcf3c3091de12a149f7c76c16b4c01ff5f4aaaa46f0602478dc1,0,2018-11-17
50,059f49cae66ca9d11cfd57456205e72046d058d5ee553e16be87c80ba0f582f7,0,2018-02-03
51,dd20bcfc38b00f7dec569a618302e82534b43fccc0deda1890740af8bfc9d4c5,0,2018-02-10
52,07ea6a6832c35bb93252d5593225d2767b6cb5b189c3f171d51f46edc98b6226,0,2019-12-06
53,3b913e70aa835cc27054c5375846f7ab0a6827bfadfbeab3de33c8a35af539df,0,2019-08-13
54,c93a1545d5694e7f412161bbd3c2e3079b007e10bbb1958dc94b2bc13b5e0617,0,2018-11-21
55,ee09b8d4a1490e4f766d3a69a48cbab883dbad88ec2997f399047f333a827e5a,0,2018-03-19
56,f4d7486ab4f18500efcfebea7613643a56d52be87507fe41e2a3758362f826e4,0,2018-12-19
57,1c50466f9a1bdbaf37e95ffda07b04b4efe4a30fb715a8fc90aa73aa1b5c230a,0,2018-07-31
58,7797b63e4c3a876e536e65d0ccea69328992f850721c9369e4c865501ffb2049,0,2019-05-27
59,e45c1b0268a562fa68e0fc4d8ff42b469e36fe100d896c4660785f5e72bf944c,0,2019-09-13
60,b36ebda4e7fe4b3fb8514eda89f8d12f1e151209d873e67d68c59dbee1cf9f11,0,2018-10-18
61,cfd9369e2955860e9132ed4682d799075035baeb1e24b3a5e971886e269e4615,0,2018-06-01
62,ad4896aaf0f631836c12e1467bc5be77d4623a9989ad3ddb8ce1f217855fbb85,0,2019-11-18
63,e45e8b376177a76341c055455e0b71dfd5ae914124c07078d0c559e20990997d,0,2019-08-29
64,87db4773a80815c4e26c6547b2ff869fdb0b0827bde7b7e8f89ea11584f4f53b,0,2018-12-21
65,80b8ca40853ec858d469b4176713cdc7e5c97a412fecb66506666970cc9f0d0b,0,2019-11-15
66,db7cc4c2e34d0ecf6457ba97de8fa4e009f500ca00056a09de03a763d6c6b927,0,2018-03-20
67,4b3be453c5b193f4c894ab1bc6b3721b1a34bdd6d3d7a92a5b45d25f50bc2566,0,2018-09-20
68,adb86b6c7c8aab8ba3fe9ac01bd6cde59c44f6a98ab82af807dc528f4798863d,0,2018-07-19
69,f7f2338e58aa13d70d03b28b8cdf7296fbc5c4ebcaf04bd3a41fa2b1f9ac0e33,0,2018-02-20
